"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2023 - 2024","Orange County Public Schools","Locust Grove Elementary",SCH,67.5
"2023 - 2024","Orange County Public Schools","Locust Grove Middle",SCH,67.6
"2023 - 2024","Orange County Public Schools","Locust Grove Primary",SCH,67.6
"2023 - 2024","Orange County Public Schools","Orange County High ",SCH,67.6
"2023 - 2024","Orange County Public Schools","Orange Elementary",SCH,67.6
"2023 - 2024","Orange County Public Schools","Prospect Heights Middle",SCH,67.5
"2023 - 2024","Orange County Public Schools","Unionville Elementary",SCH,67.5
"2023 - 2024","Page County Public Schools","Luray Elementary",SCH,89.7
"2023 - 2024","Page County Public Schools","Luray High",SCH,70.1
"2023 - 2024","Page County Public Schools","Luray Middle",SCH,98.3
"2023 - 2024","Page County Public Schools","Page County High",SCH,70.1
"2023 - 2024","Page County Public Schools","Page County Middle",SCH,70.1
"2023 - 2024","Page County Public Schools","Shenandoah Elementary",SCH,80.1
"2023 - 2024","Page County Public Schools","Springfield Elementary",SCH,80.4
"2023 - 2024","Page County Public Schools","Stanley Elementary",SCH,91.2
"2023 - 2024","Patrick County Public Schools","Blue Ridge Elementary",SCH,96.1
"2023 - 2024","Patrick County Public Schools","Hardin Reynolds Memorial School",SCH,96
"2023 - 2024","Patrick County Public Schools","Meadows of Dan Elementary ",SCH,97
"2023 - 2024","Patrick County Public Schools","Patrick County High",SCH,75.5
"2023 - 2024","Patrick County Public Schools","Patrick Springs Primary",SCH,92.7
"2023 - 2024","Patrick County Public Schools","Stuart Elementary",SCH,90.1
"2023 - 2024","Patrick County Public Schools","Woolwine Elementary",SCH,76.9
"2023 - 2024","Petersburg City Public Schools","Cool Spring Elementary",SCH,100
"2023 - 2024","Petersburg City Public Schools","Lakemont Elementary",SCH,100
"2023 - 2024","Petersburg City Public Schools","Petersburg High",SCH,100
"2023 - 2024","Petersburg City Public Schools","Pleasants Lane Elementary",SCH,100
"2023 - 2024","Petersburg City Public Schools","Vernon Johns Middle",SCH,100
"2023 - 2024","Petersburg City Public Schools","Walnut Hill Elementary",SCH,100
"2023 - 2024","Pittsylvania County Public Schools","Brosville Elementary ",SCH,86.1
"2023 - 2024","Pittsylvania County Public Schools","Chatham Elementary",SCH,85.8
"2023 - 2024","Pittsylvania County Public Schools","Chatham High",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","Chatham Middle",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Dan River High",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Dan River Middle",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Gretna Elementary",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","Gretna High",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Gretna Middle",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","John L. Hurt Elementary",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Kentuck Elementary",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","Mount Airy Elementary",SCH,86.1
"2023 - 2024","Pittsylvania County Public Schools","Southside Elementary",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","Stony Mill Elementary",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","Tunstall High",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Tunstall Middle",SCH,86
"2023 - 2024","Pittsylvania County Public Schools","Twin Springs Elementary",SCH,85.9
"2023 - 2024","Pittsylvania County Public Schools","Union Hall Elementary",SCH,85.9
"2023 - 2024","Poquoson City Public Schools","Poquoson Elementary",SCH,23.8
"2023 - 2024","Poquoson City Public Schools","Poquoson High",SCH,19.6
"2023 - 2024","Poquoson City Public Schools","Poquoson Middle",SCH,19.3
"2023 - 2024","Poquoson City Public Schools","Poquoson Primary",SCH,27.6
"2023 - 2024","Portsmouth City Public Schools","Brighton Elementary ",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Churchland Academy Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Churchland Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Churchland High",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Churchland Middle",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Churchland Primary & Intermediate",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Cradock Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Cradock Middle",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Douglass Park Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Hodges Manor Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","I.C. Norcom High",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Lakeview Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Manor High",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Park View Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Simonsdale Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Victory Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Waterview Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","Westhaven Elementary",SCH,100
"2023 - 2024","Portsmouth City Public Schools","William E. Waters Middle",SCH,100
"2023 - 2024","Powhatan County Public Schools","Flat Rock Elementary",SCH,26.6
"2023 - 2024","Powhatan County Public Schools","Pocahontas Elementary",SCH,30.2
"2023 - 2024","Powhatan County Public Schools","Powhatan Elementary",SCH,27.6
"2023 - 2024","Powhatan County Public Schools","Powhatan High",SCH,24
"2023 - 2024","Powhatan County Public Schools","Powhatan Middle",SCH,26.8
"2023 - 2024","Prince Edward County Public Schools","Prince Edward County High",SCH,98.5
"2023 - 2024","Prince Edward County Public Schools","Prince Edward Elementary",SCH,98.6
"2023 - 2024","Prince Edward County Public Schools","Prince Edward Middle",SCH,98.5
"2023 - 2024","Prince George County Public Schools","David A. Harrison Elementary",SCH,59
"2023 - 2024","Prince George County Public Schools","J.E.J. Moore Middle ",SCH,54.8
"2023 - 2024","Prince George County Public Schools","L.L. Beazley Elementary",SCH,61.2
"2023 - 2024","Prince George County Public Schools","Middle Road Elementary",SCH,60.1
"2023 - 2024","Prince George County Public Schools","North Elementary",SCH,59.6
"2023 - 2024","Prince George County Public Schools","Prince George High",SCH,37.4
"2023 - 2024","Prince George County Public Schools","South Elementary",SCH,49.7
"2023 - 2024","Prince William County Public Schools","A. Henderson Elementary",SCH,34.5
"2023 - 2024","Prince William County Public Schools","Antietam Elementary",SCH,49.5
"2023 - 2024","Prince William County Public Schools","Ashland Elementary",SCH,21.7
"2023 - 2024","Prince William County Public Schools","Battlefield High ",SCH,13.5
"2023 - 2024","Prince William County Public Schools","Bel Air Elementary",SCH,85.7
"2023 - 2024","Prince William County Public Schools","Belmont Elementary",SCH,94.1
"2023 - 2024","Prince William County Public Schools","Bennett Elementary",SCH,34.5
"2023 - 2024","Prince William County Public Schools","Brentsville District High",SCH,25.1
"2023 - 2024","Prince William County Public Schools","Bristow Run Elementary",SCH,27.8
"2023 - 2024","Prince William County Public Schools","Buckland Mills Elementary",SCH,29.2
"2023 - 2024","Prince William County Public Schools","Bull Run Middle",SCH,38.5
"2023 - 2024","Prince William County Public Schools","C.A. Sinclair Elementary",SCH,91
"2023 - 2024","Prince William County Public Schools","C.D. Hylton High",SCH,57.3
"2023 - 2024","Prince William County Public Schools","Cedar Point Elementary",SCH,23.9
"2023 - 2024","Prince William County Public Schools","Charles J. Colgan Sr. High",SCH,25.6
"2023 - 2024","Prince William County Public Schools","Chris Yung Elementary",SCH,48
"2023 - 2024","Prince William County Public Schools","Coles Elementary",SCH,46.7
"2023 - 2024","Prince William County Public Schools","Covington-Harper Elementary",SCH,37.8
"2023 - 2024","Prince William County Public Schools","Dale City Elementary",SCH,90.7
"2023 - 2024","Prince William County Public Schools","Dumfries Elementary",SCH,78.6
"2023 - 2024","Prince William County Public Schools","E.H. Marsteller Middle",SCH,20.6
"2023 - 2024","Prince William County Public Schools","Elizabeth Vaughan Elementary",SCH,100
"2023 - 2024","Prince William County Public Schools","Enterprise Elementary",SCH,81.9
"2023 - 2024","Prince William County Public Schools","Fannie W. Fitzgerald Elementary",SCH,71.4
"2023 - 2024","Prince William County Public Schools","Featherstone Elementary",SCH,93.4
"2023 - 2024","Prince William County Public Schools","Forest Park High",SCH,41.6
"2023 - 2024","Prince William County Public Schools","Fred M. Lynn Middle",SCH,86
"2023 - 2024","Prince William County Public Schools","Freedom High ",SCH,74.2
"2023 - 2024","Prince William County Public Schools","Gainesville High",SCH,27.3
"2023 - 2024","Prince William County Public Schools","Gainesville Middle",SCH,22.3
"2023 - 2024","Prince William County Public Schools","Gar-Field High",SCH,71.7
"2023 - 2024","Prince William County Public Schools","George G. Tyler Elementary",SCH,34.2
"2023 - 2024","Prince William County Public Schools","George M. Hampton Middle",SCH,79.9
"2023 - 2024","Prince William County Public Schools","George P. Mullen Elementary",SCH,85.9
"2023 - 2024","Prince William County Public Schools","Glenkirk Elementary",SCH,15.2
"2023 - 2024","Prince William County Public Schools","Graham Park Middle",SCH,72.5
"2023 - 2024","Prince William County Public Schools","Haymarket Elementary",SCH,21.3
"2023 - 2024","Prince William County Public Schools","Herbert J. Saunders Middle",SCH,42.9
"2023 - 2024","Prince William County Public Schools","Innovation Elementary",SCH,93.2
"2023 - 2024","Prince William County Public Schools","J.W. Alvey Elementary",SCH,8.5
"2023 - 2024","Prince William County Public Schools","John D. Jenkins Elementary",SCH,86.9
"2023 - 2024","Prince William County Public Schools","John F. Pattie Sr. Elementary",SCH,49.3
"2023 - 2024","Prince William County Public Schools","Kerrydale Elementary",SCH,78.2
"2023 - 2024","Prince William County Public Schools","Kyle R. Wilson Elementary",SCH,52.9
"2023 - 2024","Prince William County Public Schools","Lake Ridge Elementary",SCH,50.3
"2023 - 2024","Prince William County Public Schools","Lake Ridge Middle",SCH,43.8
"2023 - 2024","Prince William County Public Schools","Leesylvania Elementary",SCH,65.2
"2023 - 2024","Prince William County Public Schools","Loch Lomond Elementary",SCH,97.8
"2023 - 2024","Prince William County Public Schools","Louise A. Benton Middle",SCH,22.5
"2023 - 2024","Prince William County Public Schools","Martin Luther King Jr. Elementary",SCH,71.4
"2023 - 2024","Prince William County Public Schools","Marumsco Hills Elementary",SCH,94.4
"2023 - 2024","Prince William County Public Schools","Mary G. Porter Traditional",SCH,34.7
"2023 - 2024","Prince William County Public Schools","Mary Williams Elementary ",SCH,59.6
"2023 - 2024","Prince William County Public Schools","Minnieville Elementary",SCH,84.6
"2023 - 2024","Prince William County Public Schools","Montclair Elementary",SCH,53.2
"2023 - 2024","Prince William County Public Schools","Mountain View Elementary",SCH,13.7
"2023 - 2024","Prince William County Public Schools","Neabsco Elementary",SCH,89.7
"2023 - 2024","Prince William County Public Schools","Occoquan Elementary",SCH,68.8
"2023 - 2024","Prince William County Public Schools","Old Bridge Elementary",SCH,30.5
"2023 - 2024","Prince William County Public Schools","Osbourn Park High",SCH,53
"2023 - 2024","Prince William County Public Schools","Parkside Middle",SCH,65
"2023 - 2024","Prince William County Public Schools","Patriot High",SCH,23.3
"2023 - 2024","Prince William County Public Schools","Pennington Traditional",SCH,30
"2023 - 2024","Prince William County Public Schools","Piney Branch Elementary",SCH,19.7
"2023 - 2024","Prince William County Public Schools","Potomac High",SCH,60.4
"2023 - 2024","Prince William County Public Schools","Potomac Middle",SCH,68.3
"2023 - 2024","Prince William County Public Schools","Potomac Shores Middle",SCH,55.5
"2023 - 2024","Prince William County Public Schools","Potomac View Elementary",SCH,100
"2023 - 2024","Prince William County Public Schools","R. Dean Kilby Elementary",SCH,98.6
"2023 - 2024","Prince William County Public Schools","Rippon Middle",SCH,71.9
"2023 - 2024","Prince William County Public Schools","River Oaks Elementary",SCH,88.3
"2023 - 2024","Prince William County Public Schools","Rockledge Elementary",SCH,67.5
"2023 - 2024","Prince William County Public Schools","Ronald Wilson Reagan Middle",SCH,17.9
"2023 - 2024","Prince William County Public Schools","Rosa Parks Elementary",SCH,53.6
"2023 - 2024","Prince William County Public Schools","Samuel L. Gravely Jr. Elementary",SCH,15.1
"2023 - 2024","Prince William County Public Schools","Sharon C. McAuliffe Elementary",SCH,65.6
"2023 - 2024","Prince William County Public Schools","Signal Hill Elementary",SCH,44.2
"2023 - 2024","Prince William County Public Schools","Sonnie Penn Elementary",SCH,38.8
"2023 - 2024","Prince William County Public Schools","Springwoods Elementary",SCH,47.3
"2023 - 2024","Prince William County Public Schools","Stuart M. Beville Middle",SCH,75.2
"2023 - 2024","Prince William County Public Schools","Sudley Elementary",SCH,77
"2023 - 2024","Prince William County Public Schools","Suella G. Ellis Elementary",SCH,100
"2023 - 2024","Prince William County Public Schools","Swans Creek Elementary",SCH,72.6
"2023 - 2024","Prince William County Public Schools","T. Clay Wood Elementary",SCH,17.7
"2023 - 2024","Prince William County Public Schools","The Nokesville School",SCH,28.3
"2023 - 2024","Prince William County Public Schools","Thurgood Marshall Elementary",SCH,23.3
"2023 - 2024","Prince William County Public Schools","Triangle Elementary",SCH,87.5
"2023 - 2024","Prince William County Public Schools","Unity Braxton Middle ",SCH,76.2
"2023 - 2024","Prince William County Public Schools","Unity Reed High",SCH,72.2
"2023 - 2024","Prince William County Public Schools","Victory Elementary",SCH,34.8
"2023 - 2024","Prince William County Public Schools","West Gate Elementary",SCH,100
"2023 - 2024","Prince William County Public Schools","Westridge Elementary",SCH,39.1
"2023 - 2024","Prince William County Public Schools","Woodbridge High",SCH,53
"2023 - 2024","Prince William County Public Schools","Woodbridge Middle",SCH,65.2
"2023 - 2024","Prince William County Public Schools","Yorkshire Elementary",SCH,99.8
"2023 - 2024","Pulaski County Public Schools","Critzer Elementary",SCH,92.4
"2023 - 2024","Pulaski County Public Schools","Pulaski County Middle",SCH,92.5
"2023 - 2024","Pulaski County Public Schools","Pulaski County Senior High",SCH,92.6
"2023 - 2024","Pulaski County Public Schools","Pulaski Elementary ",SCH,92.5
"2023 - 2024","Pulaski County Public Schools","Riverlawn Elementary",SCH,92.7
"2023 - 2024","Pulaski County Public Schools","Snowville Elementary",SCH,92.4
"2023 - 2024","Radford City Public Schools","Belle Heth Elementary",SCH,71.3
"2023 - 2024","Radford City Public Schools","John N. Dalton Intermediate",SCH,79.9
"2023 - 2024","Radford City Public Schools","McHarg Elementary",SCH,71.3
"2023 - 2024","Radford City Public Schools","Radford High",SCH,71.3
"2023 - 2024","Rappahannock County Public Schools","Rappahannock County Elementary",SCH,65.5
"2023 - 2024","Rappahannock County Public Schools","Rappahannock County High",SCH,36.7
"2023 - 2024","Richmond City Public Schools","Albert Hill Middle",SCH,100
"2023 - 2024","Richmond City Public Schools","Armstrong High ",SCH,100
"2023 - 2024","Richmond City Public Schools","Barack Obama Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Bellevue Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Blackwell Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Broad Rock Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Cardinal Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Chimborazo Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Dogwood Middle",SCH,100
"2023 - 2024","Richmond City Public Schools","Elizabeth D. Redd Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Fairfield Court Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Frances W. McClenney Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Franklin Military Academy",SCH,100
"2023 - 2024","Richmond City Public Schools","G.H. Reid Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","George W. Carver Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Henry Marsh III Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Huguenot High",SCH,100
"2023 - 2024","Richmond City Public Schools","J.B. Fisher Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","J.L. Francis Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","John Marshall High",SCH,100
"2023 - 2024","Richmond City Public Schools","Linwood Holton Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Lois Harrison-Jones Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Lucille M. Brown Middle",SCH,100
"2023 - 2024","Richmond City Public Schools","Martin Luther King Jr. Middle ",SCH,100
"2023 - 2024","Richmond City Public Schools","Mary Munford Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Miles Jones Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Oak Grove/Bellemeade Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Open High",SCH,100
"2023 - 2024","Richmond City Public Schools","Overby-Sheppard Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Patrick Henry School Of Science And Arts",SCH,100
"2023 - 2024","Richmond City Public Schools","Richmond Community High",SCH,100
"2023 - 2024","Richmond City Public Schools","Richmond High School for the Arts",SCH,100
"2023 - 2024","Richmond City Public Schools","River City Middle",SCH,100
"2023 - 2024","Richmond City Public Schools","Southampton Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Swansboro Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Thomas C. Boushall Middle",SCH,100
"2023 - 2024","Richmond City Public Schools","Thomas H. Henderson Middle",SCH,100
"2023 - 2024","Richmond City Public Schools","Thomas Jefferson High",SCH,100
"2023 - 2024","Richmond City Public Schools","Westover Hills Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","William Fox Elementary",SCH,100
"2023 - 2024","Richmond City Public Schools","Woodville Elementary",SCH,100
"2023 - 2024","Richmond County Public Schools","Rappahannock High",SCH,78.5
"2023 - 2024","Richmond County Public Schools","Richmond County Elementary",SCH,78.4
"2023 - 2024","Roanoke City Public Schools","Addison Aerospace Magnet Middle",SCH,100
"2023 - 2024","Roanoke City Public Schools","Breckinridge Middle",SCH,100
"2023 - 2024","Roanoke City Public Schools","Crystal Spring Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Fairview Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Fallon Park Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Fishburn Park Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Garden City Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Grandin Court Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Highland Park Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Hurt Park Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","James Madison Middle",SCH,100
"2023 - 2024","Roanoke City Public Schools","John P. Fishwick Middle",SCH,100
"2023 - 2024","Roanoke City Public Schools","Lincoln Terrace Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Monterey Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Morningside Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Patrick Henry High",SCH,100
"2023 - 2024","Roanoke City Public Schools","Preston Park Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Roanoke Academy For Mathematics & Science Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Round Hill Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Virginia Heights Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Wasena Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","Westside Elementary",SCH,100
"2023 - 2024","Roanoke City Public Schools","William Fleming High",SCH,100
"2023 - 2024","Roanoke City Public Schools","Woodrow Wilson Middle",SCH,100
"2023 - 2024","Roanoke County Public Schools","Back Creek Elementary",SCH,22.9
"2023 - 2024","Roanoke County Public Schools","Bonsack Elementary",SCH,24
"2023 - 2024","Roanoke County Public Schools","Burlington Elementary",SCH,93.6
"2023 - 2024","Roanoke County Public Schools","Cave Spring Elementary",SCH,25.6
"2023 - 2024","Roanoke County Public Schools","Cave Spring High",SCH,29.4
"2023 - 2024","Roanoke County Public Schools","Cave Spring Middle",SCH,29.3
"2023 - 2024","Roanoke County Public Schools","Clearbrook Elementary",SCH,34.4
"2023 - 2024","Roanoke County Public Schools","Fort Lewis Elementary",SCH,22.6
"2023 - 2024","Roanoke County Public Schools","Glen Cove Elementary",SCH,49.9
"2023 - 2024","Roanoke County Public Schools","Glenvar Elementary",SCH,44
"2023 - 2024","Roanoke County Public Schools","Glenvar High",SCH,35.6
"2023 - 2024","Roanoke County Public Schools","Glenvar Middle",SCH,36.8
"2023 - 2024","Roanoke County Public Schools","Green Valley Elementary",SCH,46.8
"2023 - 2024","Roanoke County Public Schools","Herman L. Horn Elementary",SCH,76.9
"2023 - 2024","Roanoke County Public Schools","Hidden Valley High",SCH,26.4
"2023 - 2024","Roanoke County Public Schools","Hidden Valley Middle",SCH,26.1
"2023 - 2024","Roanoke County Public Schools","Mason's Cove Elementary",SCH,68.6
"2023 - 2024","Roanoke County Public Schools","Mount Pleasant Elementary",SCH,81.4
"2023 - 2024","Roanoke County Public Schools","Mountain View Elementary",SCH,71.8
"2023 - 2024","Roanoke County Public Schools","Northside High",SCH,66.4
"2023 - 2024","Roanoke County Public Schools","Northside Middle",SCH,71
"2023 - 2024","Roanoke County Public Schools","Oak Grove Elementary",SCH,43.3
"2023 - 2024","Roanoke County Public Schools","Penn Forest Elementary",SCH,27.8
"2023 - 2024","Roanoke County Public Schools","W.E. Cundiff Elementary",SCH,80.4
"2023 - 2024","Roanoke County Public Schools","William Byrd High",SCH,39.4
"2023 - 2024","Roanoke County Public Schools","William Byrd Middle",SCH,47.5
"2023 - 2024","Rockbridge County Public Schools","Central Elementary",SCH,85.6
"2023 - 2024","Rockbridge County Public Schools","Fairfield Elementary",SCH,75.5
"2023 - 2024","Rockbridge County Public Schools","Maury River Middle",SCH,76
"2023 - 2024","Rockbridge County Public Schools","Mountain View Elementary",SCH,74.6
"2023 - 2024","Rockbridge County Public Schools","Natural Bridge Elementary",SCH,74.9
"2023 - 2024","Rockbridge County Public Schools","Rockbridge County High",SCH,74.8
"2023 - 2024","Rockingham County Public Schools","Broadway High",SCH,42.2
"2023 - 2024","Rockingham County Public Schools","Cub Run Elementary",SCH,64.5
"2023 - 2024","Rockingham County Public Schools","East Rockingham High",SCH,43.8
"2023 - 2024","Rockingham County Public Schools","Elkton Elementary",SCH,70.8
"2023 - 2024","Rockingham County Public Schools","Elkton Middle",SCH,64.4
"2023 - 2024","Rockingham County Public Schools","Fulks Run Elementary",SCH,84.9
"2023 - 2024","Rockingham County Public Schools","J. Frank Hillyard Middle",SCH,48.7
"2023 - 2024","Rockingham County Public Schools","John C. Myers Elementary",SCH,64.5
"2023 - 2024","Rockingham County Public Schools","John W. Wayland Elementary",SCH,38.2
"2023 - 2024","Rockingham County Public Schools","Lacey Spring Elementary",SCH,73.5
"2023 - 2024","Rockingham County Public Schools","Linville-Edom Elementary",SCH,38.9
"2023 - 2024","Rockingham County Public Schools","McGaheysville Elementary",SCH,43.9
"2023 - 2024","Rockingham County Public Schools","Montevideo Middle",SCH,43.8
"2023 - 2024","Rockingham County Public Schools","Mountain View Elementary",SCH,66.7
"2023 - 2024","Rockingham County Public Schools","Ottobine Elementary",SCH,69.6
"2023 - 2024","Rockingham County Public Schools","Peak View Elementary",SCH,43.5
"2023 - 2024","Rockingham County Public Schools","Plains Elementary",SCH,69.4
"2023 - 2024","Rockingham County Public Schools","Pleasant Valley Elementary",SCH,73.4
"2023 - 2024","Rockingham County Public Schools","River Bend Elementary",SCH,73.3
"2023 - 2024","Rockingham County Public Schools","South River Elementary",SCH,64.4
"2023 - 2024","Rockingham County Public Schools","Spotswood High",SCH,39.1
"2023 - 2024","Rockingham County Public Schools","Turner Ashby High",SCH,36.6
"2023 - 2024","Rockingham County Public Schools","Wilbur S. Pence Middle",SCH,41.6
"2023 - 2024","Russell County Public Schools","Belfast Elementary",SCH,91.5
"2023 - 2024","Russell County Public Schools","Castlewood Elementary",SCH,90.9
"2023 - 2024","Russell County Public Schools","Castlewood High",SCH,91.1
"2023 - 2024","Russell County Public Schools","Honaker Elementary",SCH,91.1
"2023 - 2024","Russell County Public Schools","Honaker High",SCH,91
"2023 - 2024","Russell County Public Schools","Lebanon Elementary",SCH,91.1
"2023 - 2024","Russell County Public Schools","Lebanon High",SCH,91.2
"2023 - 2024","Russell County Public Schools","Lebanon Middle",SCH,91
"2023 - 2024","Russell County Public Schools","Lebanon Primary",SCH,91.1
"2023 - 2024","Salem City Public Schools","Andrew Lewis Middle",SCH,46.8
"2023 - 2024","Salem City Public Schools","East Salem Elementary",SCH,83.7
"2023 - 2024","Salem City Public Schools","G.W. Carver Elementary",SCH,83.8
"2023 - 2024","Salem City Public Schools","Salem High",SCH,40.8
"2023 - 2024","Salem City Public Schools","South Salem Elementary",SCH,40.2
"2023 - 2024","Salem City Public Schools","West Salem Elementary",SCH,40
"2023 - 2024","Scott County Public Schools","Duffield-Pattonsville Primary",SCH,78.4
"2023 - 2024","Scott County Public Schools","Dungannon Elementary",SCH,78
"2023 - 2024","Scott County Public Schools","Gate City High",SCH,78.4
"2023 - 2024","Scott County Public Schools","Gate City Middle",SCH,78.3
"2023 - 2024","Scott County Public Schools","Hilton Elementary",SCH,78.4
"2023 - 2024","Scott County Public Schools","Nickelsville Elementary",SCH,78.2
"2023 - 2024","Scott County Public Schools","Rye Cove High",SCH,78.4
"2023 - 2024","Scott County Public Schools","Rye Cove Intermediate",SCH,78.6
"2023 - 2024","Scott County Public Schools","Shoemaker Elementary",SCH,78.4
"2023 - 2024","Scott County Public Schools","Twin Springs High",SCH,78.2
"2023 - 2024","Scott County Public Schools","Weber City Elementary",SCH,78.5
"2023 - 2024","Scott County Public Schools","Yuma Elementary",SCH,78.5
"2023 - 2024","Shenandoah County Public Schools","Ashby-Lee Elementary",SCH,79
"2023 - 2024","Shenandoah County Public Schools","Central High",SCH,79
"2023 - 2024","Shenandoah County Public Schools","North Fork Middle",SCH,78.9
"2023 - 2024","Shenandoah County Public Schools","Peter Muhlenberg Middle",SCH,79
"2023 - 2024","Shenandoah County Public Schools","Sandy Hook Elementary",SCH,79
"2023 - 2024","Shenandoah County Public Schools","Signal Knob Middle",SCH,79
"2023 - 2024","Shenandoah County Public Schools","Stonewall Jackson High",SCH,79
"2023 - 2024","Shenandoah County Public Schools","Strasburg High",SCH,78.9
"2023 - 2024","Shenandoah County Public Schools","W.W. Robinson Elementary",SCH,79
"2023 - 2024","Smyth County Public Schools","Atkins Elementary",SCH,100
"2023 - 2024","Smyth County Public Schools","Chilhowie Elementary",SCH,100
"2023 - 2024","Smyth County Public Schools","Chilhowie High",SCH,100
"2023 - 2024","Smyth County Public Schools","Chilhowie Middle",SCH,100
"2023 - 2024","Smyth County Public Schools","Marion Elementary",SCH,100
"2023 - 2024","Smyth County Public Schools","Marion Middle",SCH,100
"2023 - 2024","Smyth County Public Schools","Marion Senior High",SCH,100
"2023 - 2024","Smyth County Public Schools","Northwood High",SCH,100
"2023 - 2024","Smyth County Public Schools","Northwood Middle",SCH,100
"2023 - 2024","Smyth County Public Schools","Oak Point Elementary",SCH,100
"2023 - 2024","Smyth County Public Schools","Rich Valley Elementary",SCH,100
"2023 - 2024","Smyth County Public Schools","Saltville Elementary",SCH,100
"2023 - 2024","Smyth County Public Schools","Sugar Grove Elementary",SCH,100
"2023 - 2024","Southampton County Public Schools","Capron Elementary",SCH,75.7
"2023 - 2024","Southampton County Public Schools","Meherrin Elementary",SCH,75.6
"2023 - 2024","Southampton County Public Schools","Nottoway Elementary",SCH,75.6
"2023 - 2024","Southampton County Public Schools","Riverdale Elementary",SCH,75.9
"2023 - 2024","Southampton County Public Schools","Southampton High",SCH,75.7
"2023 - 2024","Southampton County Public Schools","Southampton Middle",SCH,75.8
