"division_id","year","subject","subgroup","acr_rate","pass_rate","acr_suppressed","pass_suppressed","weight_basis","source"
"5100270",2023,"Math","All Students",89.9748439088137,82.3612966458545,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2023,"Science","All Students",,78.9275809496152,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2024,"English (ELA)","All Students",92.0366115251772,81.6522086893292,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2024,"Math","All Students",90.8897291401563,83.3163424831849,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100270",2024,"Science","All Students",,81.1876370814446,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2022,"English (ELA)","All Students",86.9411764705882,72.1764705882353,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2022,"Math","All Students",88.5294117647059,68.2941176470588,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2022,"Science","All Students",,69.3529411764706,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2023,"English (ELA)","All Students",82.2938818565401,72.6962025316456,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2023,"Math","All Students",82.1268987341772,72.4277426160338,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2023,"Science","All Students",,69.6798523206751,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2024,"English (ELA)","All Students",83.0980906420478,72.2728703315149,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2024,"Math","All Students",82.3810323122115,71.3650860260176,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100300",2024,"Science","All Students",,68.8143096936634,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2022,"English (ELA)","All Students",80.3333333333333,61.6666666666667,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2022,"Math","All Students",90.6666666666667,70.3333333333333,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2022,"Science","All Students",,80,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2023,"English (ELA)","All Students",80.0972222222222,64.9206349206349,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2023,"Math","All Students",88.4801587301587,75.0119047619048,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2023,"Science","All Students",,57.6230158730159,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2024,"English (ELA)","All Students",88.4381139489195,75.565815324165,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2024,"Math","All Students",86.0884086444008,79.3202357563851,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100330",2024,"Science","All Students",,81.5225933202358,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2022,"English (ELA)","All Students",86.3157894736842,73.5263157894737,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2022,"Math","All Students",88.4210526315789,68.0526315789474,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2022,"Science","All Students",,67.5789473684211,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2023,"English (ELA)","All Students",83.4363656363436,75.8828511714883,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2023,"Math","All Students",83.0373996260037,70.7908920910791,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2023,"Science","All Students",,68.2654273457265,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2024,"English (ELA)","All Students",85.3712614501711,76.7839090608101,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2024,"Math","All Students",86.4314093367178,74.5252179671118,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100360",2024,"Science","All Students",,71.7047787219954,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2022,"English (ELA)","All Students",85,74,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2022,"Math","All Students",86.5,69,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2022,"Science","All Students",,76,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2023,"English (ELA)","All Students",81.7964824120603,72.2713567839196,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2023,"Math","All Students",84.5251256281407,72.3304020100502,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2023,"Science","All Students",,77.1947236180904,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2024,"English (ELA)","All Students",84.8486759142497,76.0958385876419,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2024,"Math","All Students",77.9003783102144,73.6494325346784,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100390",2024,"Science","All Students",,80.4981084489281,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2022,"English (ELA)","All Students",91.1818181818182,82.7272727272727,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2022,"Math","All Students",93.9090909090909,80.5454545454545,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2022,"Science","All Students",,78.7272727272727,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2023,"English (ELA)","All Students",90.2647975077882,85.0700934579439,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2023,"Math","All Students",91.7305295950156,85.7661326212728,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2023,"Science","All Students",,76.2501112594571,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2024,"English (ELA)","All Students",90.9901960784314,86.6920677361854,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2024,"Math","All Students",91.8282085561497,86.0770944741533,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100420",2024,"Science","All Students",,81.3948306595365,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2022,"English (ELA)","All Students",81.5,75.5,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2022,"Math","All Students",79,67.5,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2022,"Science","All Students",,62.5,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2023,"English (ELA)","All Students",79.4933333333333,76.0231111111111,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2023,"Math","All Students",72.2284444444444,67.8906666666667,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2023,"Science","All Students",,62.6986666666667,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2024,"English (ELA)","All Students",84.6168051708218,79.5420129270545,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2024,"Math","All Students",76.3084025854109,70.8107109879963,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100450",2024,"Science","All Students",,62.3084025854109,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100480",2022,"English (ELA)","All Students",74.6,56.4,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100480",2022,"Math","All Students",83.8,54.8,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100480",2022,"Science","All Students",,39.4,TRUE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100480",2023,"English (ELA)","All Students",74.4007117437722,62.8846975088968,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
"5100480",2023,"Math","All Students",75.5473309608541,64.3345195729537,FALSE,FALSE,"enrollment","vdoe_accreditation_rates"
